solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,40,0.03804695121249028,0.4666666666666667,0.4666666666666667
1,40,0.05712575972349556,0.6,0.5333333333333333
2,40,0.05871552207807281,0.6666666666666666,0.6666666666666666
3,40,0.06516874637201497,0.5333333333333333,0.6
4,40,0.07994794960307831,0.8,0.8
5,61,0.1033740489826345,0.6,0.6
6,49,0.0834012601931352,0.7333333333333333,0.7333333333333333
7,45,0.07377501634036494,0.6666666666666666,0.6666666666666666
8,40,0.05387884933195196,0.9333333333333333,0.9333333333333333
9,43,0.07406697613601636,0.6,0.6
10,40,0.09744156708653777,1.0,1.0
11,40,0.03940273995879683,0.8,0.8
12,40,0.10314981108230199,1.0,1.0
13,40,0.03577916347889328,0.7333333333333333,0.7333333333333333
14,40,0.04978790870000874,1.0,1.0
15,40,0.04352088988316196,0.8666666666666667,0.8666666666666667
