solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,88,0.2481414888433034,1.0,1.0
1,93,0.2558610640468632,0.8666666666666667,0.9333333333333333
2,82,0.2073992063852034,1.0,1.0
3,83,0.21533321896943824,0.9333333333333333,1.0
4,49,0.13327693074137448,1.0,1.0
5,82,0.21696405289254553,0.9333333333333333,0.9333333333333333
6,82,0.20932286231613836,0.8,0.8
7,82,0.22244494295749748,0.8666666666666667,0.8666666666666667
8,28,0.05981299052178999,0.9333333333333333,0.9333333333333333
9,84,0.1982630107610111,1.0,1.0
10,108,0.2702529693998894,1.0,1.0
11,81,0.2018063803086808,1.0,1.0
12,400,1.0,1.0,1.0
13,82,0.19865373692685442,1.0,1.0
14,70,0.1552974657432184,1.0,1.0
15,81,0.18752112141610194,1.0,1.0
