solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc,spearman
0,43,0.08863762900442314,0.9090909090909091,0.8181818181818182,0.9444032905064071
1,51,0.09497677399623478,0.8636363636363636,0.8636363636363636,0.9550174177162186
2,43,0.10191363268319427,0.8636363636363636,0.7727272727272727,0.9458593454274542
3,45,0.08830160098988471,0.7727272727272727,0.7272727272727273,0.946119739911409
4,46,0.07589934039468191,0.9090909090909091,0.8181818181818182,0.9569946794506207
5,43,0.08000149085076308,0.22727272727272727,0.22727272727272727,0.9488259717068922
6,46,0.10205855575922758,0.5909090909090909,0.6363636363636364,0.9527814734128094
7,43,0.09032004877781546,0.9090909090909091,0.9090909090909091,0.9456254244778084
8,43,0.078101047972973,0.7727272727272727,0.7727272727272727,0.860816058750234
9,43,0.09787521446648333,0.6363636363636364,0.6363636363636364,0.8818587335433405
10,47,0.09064209637724209,0.8181818181818182,0.6363636363636364,0.9141733431632189
11,46,0.10896976200205763,0.8181818181818182,0.8636363636363636,0.9278300688681896
12,48,0.04302369280581192,0.7727272727272727,0.8181818181818182,0.9372220621065995
13,52,0.0913975850532107,0.9545454545454546,1.0,0.9453916769956865
14,43,0.10280920548792774,1.0,1.0,0.9397233201581027
15,43,0.051608480323290906,0.7272727272727273,0.6818181818181818,0.8875156952651752
16,43,0.08058837145509083,0.6363636363636364,0.5909090909090909,0.9419323242832088
17,43,0.08994537896124416,0.6363636363636364,0.6818181818181818,0.92512975396546
18,43,0.07268745285749144,0.7727272727272727,0.7727272727272727,0.94710837077861
19,43,0.0815806330280808,0.5,0.45454545454545453,0.9088213768923511
20,52,0.08198636169219883,0.7272727272727273,0.8181818181818182,0.9411765855754037
21,43,0.10218503954744065,0.7727272727272727,0.8181818181818182,0.9298073306025916
22,43,0.05805506702351857,0.7727272727272727,0.8181818181818182,0.9426877470355731
