solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,65,0.17386121262596216,1.0,1.0
1,120,0.2382498537837234,0.8,0.7333333333333333
2,48,0.10781902931553183,0.8,0.8
3,135,0.2782120961974196,0.7333333333333333,0.8
4,65,0.16574546992201142,1.0,1.0
5,46,0.1213631526998724,0.9333333333333333,0.9333333333333333
6,113,0.24616565566868656,0.9333333333333333,0.9333333333333333
7,72,0.1801716372374332,0.9333333333333333,0.9333333333333333
8,40,0.08646802645113798,0.9333333333333333,0.9333333333333333
9,144,0.29246006505064254,0.8,0.8
10,40,0.10310394375341846,1.0,1.0
11,52,0.15895690093468776,0.6666666666666666,0.6666666666666666
12,40,0.10579446101885123,1.0,1.0
13,121,0.25177080118480877,0.9333333333333333,0.9333333333333333
14,40,0.09053331673285876,1.0,1.0
15,113,0.2610099670158921,1.0,1.0
