solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,143,0.38426311120693735,1.0,0.9333333333333333
1,96,0.32141181055401763,0.4,0.4
2,60,0.22596186018516615,0.26666666666666666,0.26666666666666666
3,61,0.21296657764340443,0.5333333333333333,0.4
4,59,0.16119221395719058,0.9333333333333333,0.9333333333333333
5,57,0.16235276594501885,0.8,0.8
6,81,0.2070837116144598,0.8,0.8
7,54,0.15569677821193417,0.8666666666666667,0.8666666666666667
8,60,0.2738800327241394,0.06666666666666667,0.13333333333333333
9,83,0.2341506841966118,0.7333333333333333,0.7333333333333333
10,40,0.09413689429139681,1.0,1.0
11,51,0.19518306180073078,0.4,0.5333333333333333
12,40,0.09581143933071372,1.0,1.0
13,59,0.21391433418624536,0.4666666666666667,0.6
14,56,0.2542651713316652,0.13333333333333333,0.06666666666666667
15,54,0.20722088089697965,0.2,0.2
