solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,47,0.1199052045542561,1.0,0.9333333333333333
1,40,0.10491019141300853,0.7333333333333333,0.7333333333333333
2,40,0.11608976967112519,0.6666666666666666,0.6666666666666666
3,40,0.11083553401334531,0.9333333333333333,0.8
4,40,0.10744285893825811,1.0,1.0
5,41,0.09544052227571323,0.9333333333333333,0.9333333333333333
6,40,0.08587932432301486,0.9333333333333333,0.9333333333333333
7,47,0.11184170164408459,0.8,0.8
8,43,0.10955784300786231,0.9333333333333333,1.0
9,49,0.1335270822071101,0.8,0.8
10,40,0.09987460478326045,1.0,1.0
11,50,0.13811853127713658,0.8,0.9333333333333333
12,40,0.10074209693126973,1.0,1.0
13,41,0.0983693976014124,0.8666666666666667,1.0
14,40,0.10880537643100861,1.0,0.9333333333333333
15,40,0.08506321344390444,1.0,1.0
