solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc,spearman
0,64,0.1799438695779368,0.9545454545454546,0.8636363636363636,0.9414381310385691
1,64,0.17628902364602328,1.0,0.9090909090909091,0.9480970016458112
2,64,0.198745670743574,1.0,0.9090909090909091,0.9557480996922472
3,64,0.19806423839239656,0.8181818181818182,0.8636363636363636,0.9441424781770069
4,64,0.21804048323358446,0.9090909090909091,0.8181818181818182,0.9569946794506207
5,64,0.2017850569854784,1.0,1.0,0.8934489478240512
6,71,0.2212419622574454,0.6818181818181818,0.8181818181818182,0.9530401559818165
7,76,0.24775337557986818,0.9090909090909091,0.8181818181818182,0.8586259081641157
8,75,0.24123998854113732,0.9090909090909091,0.9090909090909091,0.860816058750234
9,64,0.18637718941790254,0.5454545454545454,0.45454545454545453,0.9391993238410016
10,64,0.1958839884874549,0.7727272727272727,0.8636363636363636,0.9201095337032398
11,64,0.2144087661729098,0.9545454545454546,0.9090909090909091,0.9525458405482158
12,64,0.18311277480963742,0.8636363636363636,0.9090909090909091,0.9335310391243343
13,64,0.17017937228362423,0.7727272727272727,0.7272727272727273,0.9513219959313626
14,64,0.16450799677126302,1.0,1.0,0.9041501976284586
15,64,0.1804991953834208,1.0,0.9545454545454546,0.916379040291671
16,73,0.22335968720871444,0.8636363636363636,0.8181818181818182,0.9458858702403261
17,64,0.2393538647143908,0.9090909090909091,0.8636363636363636,0.9485913170794118
18,64,0.22398844585427732,0.9090909090909091,0.8181818181818182,0.9599605720522238
19,71,0.206944303135798,0.8181818181818182,0.7727272727272727,0.905856217424513
20,64,0.17938043225931197,0.8636363636363636,0.9545454545454546,0.9411765855754037
21,74,0.21032118121160379,0.8181818181818182,0.7727272727272727,0.9510628942474142
22,67,0.20988701683592662,0.7727272727272727,0.8181818181818182,0.9458858702403261
