solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc,spearman
0,14,0.017908474515410357,0.7727272727272727,0.7727272727272727,0.0
1,18,0.043603574224963255,0.45454545454545453,0.45454545454545453,0.9006427200201605
2,14,0.04158573234486864,0.9090909090909091,0.9090909090909091,0.954759224265768
3,18,0.03317740970717476,0.7272727272727273,0.6818181818181818,0.9260818368978682
4,11,0.01717853168535388,0.9545454545454546,0.8636363636363636,0.0
5,15,0.021480271834121437,0.9090909090909091,0.9090909090909091,0.0
6,17,0.0431819185045269,0.3181818181818182,0.45454545454545453,0.9382106929738007
7,11,0.02063301289751863,0.8181818181818182,0.9090909090909091,0.9446367936106074
8,18,0.03951726535569972,0.8181818181818182,0.8181818181818182,0.9458593454274542
9,12,0.0306565476355153,0.45454545454545453,0.36363636363636365,0.0
10,11,0.007042480027149472,0.7272727272727273,0.9090909090909091,0.0
11,17,0.03586572226858154,0.8636363636363636,0.9090909090909091,0.9406822701418032
12,32,0.07475377561864587,0.7272727272727273,0.5909090909090909,0.9364961985921725
13,22,0.048928765345714775,0.9545454545454546,1.0,0.9453916769956865
14,17,0.01702655594664329,0.5,0.5,0.9397233201581027
15,14,0.015596104294133842,0.6818181818181818,0.6363636363636364,0.0
16,13,0.02929000874531972,0.5454545454545454,0.5909090909090909,0.0
17,16,0.0362920228732462,0.7727272727272727,0.7272727272727273,0.8707684970550965
18,11,0.03035500446022116,0.7727272727272727,0.5909090909090909,0.0
19,28,0.06840668025697692,0.7727272727272727,0.8181818181818182,0.9453916769956865
20,14,0.019143907862791607,0.6818181818181818,0.7727272727272727,0.0
21,23,0.03013863511484076,0.4090909090909091,0.36363636363636365,0.9483568364635245
22,15,0.030522144634153932,0.7272727272727273,0.6818181818181818,0.9387351778656127
