solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,40,0.10690291635179541,0.9333333333333333,0.8666666666666667
1,40,0.11343431917535989,0.7333333333333333,0.7333333333333333
2,40,0.07889617058696592,0.9333333333333333,0.9333333333333333
3,40,0.10003115991023707,0.8666666666666667,0.8666666666666667
4,40,0.09989859116218486,0.8,0.8
5,40,0.09372681679206413,0.9333333333333333,0.9333333333333333
6,40,0.10220043673849552,0.9333333333333333,0.9333333333333333
7,40,0.10128526180322985,1.0,1.0
8,40,0.09424319357362282,0.9333333333333333,1.0
9,40,0.09380501737745467,1.0,1.0
10,40,0.10390264376780368,1.0,1.0
11,40,0.09775749746754273,1.0,0.8666666666666667
12,40,0.09099793419631444,1.0,1.0
13,40,0.10235807444327247,0.8666666666666667,1.0
14,40,0.09560517728881163,0.9333333333333333,1.0
15,40,0.07666842346487941,0.9333333333333333,0.9333333333333333
