solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc,spearman
0,59,0.07318449854134786,0.7727272727272727,0.8636363636363636,0.9444032905064071
1,58,0.11368516929810013,0.8636363636363636,0.7727272727272727,0.9463537831406938
2,54,0.11091881675563392,0.8636363636363636,0.7727272727272727,0.954759224265768
3,54,0.10831676391630131,0.9090909090909091,0.8636363636363636,0.946119739911409
4,61,0.15307913154216254,0.7272727272727273,0.6363636363636364,0.9411765855754037
5,54,0.09545911815041827,0.7727272727272727,0.7727272727272727,0.9260818368978682
6,54,0.10536943385842198,0.9090909090909091,0.8636363636363636,0.9530401559818165
7,58,0.09482834932063698,0.7727272727272727,0.7727272727272727,0.9446367936106074
8,54,0.1192827167980591,0.9545454545454546,0.9545454545454546,0.9231152106184302
9,54,0.09630511301533781,0.5454545454545454,0.45454545454545453,0.892733673082552
10,55,0.09585102626267078,0.6818181818181818,0.6818181818181818,0.8451271062733122
11,54,0.15323670806560755,0.7272727272727273,0.6818181818181818,0.9453383434983286
12,57,0.10575842155560007,0.6818181818181818,0.7272727272727273,0.9384729715707312
13,54,0.10683068634967464,0.9545454545454546,1.0,0.9513219959313626
14,54,0.11087585149288616,1.0,1.0,0.9397233201581027
15,55,0.12454852281583227,0.5909090909090909,0.5454545454545454,0.9102598300741993
16,58,0.1197700412204521,0.5454545454545454,0.5,0.9330368458796948
17,64,0.12735822442824438,0.8181818181818182,0.7727272727272727,0.9540287868490176
18,54,0.0901803153138728,0.5909090909090909,0.7727272727272727,0.8798814718089384
19,55,0.10087198356317496,0.5454545454545454,0.5909090909090909,0.905856217424513
20,54,0.08746947748603824,0.7727272727272727,0.7727272727272727,0.9557266769433653
21,56,0.10800962559426544,0.6818181818181818,0.6363636363636364,0.8030640225394617
22,54,0.09210315391759681,0.6363636363636364,0.5909090909090909,0.9387351778656127
