solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc,spearman
0,107,0.017229951318298613,0.7727272727272727,0.6818181818181818,0.9473684499742452
1,107,0.035801555658969524,0.9090909090909091,1.0,0.9560060485834195
2,107,0.018460621350331257,0.6363636363636364,0.7272727272727273,0.7915947788966828
3,107,0.03163396562729384,0.45454545454545453,0.5,0.83807192394121
4,107,0.025519646776760413,0.5454545454545454,0.6363636363636364,0.892733673082552
5,107,0.031020638143278864,0.9545454545454546,0.9545454545454546,0.9488259717068922
6,107,0.03217384582396873,0.45454545454545453,0.5,0.9441424781770069
7,107,0.02517909613365325,0.5,0.4090909090909091,0.8289669821480842
8,107,0.02425130889159218,0.6818181818181818,0.6818181818181818,0.9371913585532378
9,107,0.028766106284221177,0.6363636363636364,0.5454545454545454,0.892733673082552
10,107,0.04092224664056342,0.7272727272727273,1.0,0.9141733431632189
11,107,0.02856165322215167,0.8636363636363636,0.9090909090909091,0.9278300688681896
12,107,0.01997768207066737,0.45454545454545453,0.4090909090909091,0.7724240413718023
13,107,0.05889496916192313,0.9090909090909091,0.9545454545454546,0.9167284688065858
14,107,0.02068781238388893,0.9545454545454546,0.9545454545454546,0.9397233201581027
15,107,0.02595626663259982,0.5,0.5454545454545454,0.8875156952651752
16,107,0.06517082712480592,0.6818181818181818,0.6363636363636364,0.9458858702403261
17,107,0.02197714714414103,0.5,0.45454545454545453,0.9528045756652815
18,107,0.0767129464040506,0.36363636363636365,0.5454545454545454,0.8521998075273088
19,107,0.020218916687541888,0.7727272727272727,0.7272727272727273,0.9483568364635245
20,107,0.03037564769309169,0.7272727272727273,0.7272727272727273,0.9036086126217636
21,107,0.019682232419111583,0.7727272727272727,0.7272727272727273,0.8030640225394617
22,107,0.03516387809973855,0.7727272727272727,0.8181818181818182,0.9367588932806324
