solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,163,0.39022622047366057,1.0,0.9333333333333333
1,41,0.09988831931120691,0.8666666666666667,0.8666666666666667
2,57,0.12751816218746695,1.0,1.0
3,40,0.11108902313800897,0.9333333333333333,0.8
4,73,0.17797449302352056,1.0,1.0
5,112,0.2806288298910232,1.0,1.0
6,120,0.2954449668701699,1.0,1.0
7,78,0.17127334218997062,0.8,0.8
8,59,0.1646983433482642,0.8666666666666667,0.9333333333333333
9,108,0.2808209855611431,1.0,1.0
10,113,0.2905093202946009,1.0,1.0
11,113,0.27315552306794466,0.8666666666666667,1.0
12,40,0.10088223876623777,1.0,1.0
13,147,0.3442791684525866,1.0,0.8666666666666667
14,58,0.1506955114160007,1.0,0.9333333333333333
15,89,0.21035621756151088,1.0,1.0
