solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc,spearman
0,43,0.08902516069373129,0.9545454545454546,0.8636363636363636,0.9463800634849658
1,57,0.13749167181220004,1.0,0.9090909090909091,0.9441424781770069
2,43,0.10600440099897968,0.8636363636363636,0.7727272727272727,0.954995521565331
3,32,0.08093015235566946,0.45454545454545453,0.4090909090909091,0.946119739911409
4,51,0.09478841499703194,0.9090909090909091,0.8181818181818182,0.9569946794506207
5,22,0.029300212517594817,0.7272727272727273,0.7272727272727273,0.9488259717068922
6,48,0.09927074044495617,0.8181818181818182,0.7727272727272727,0.9382106929738007
7,29,0.055527261645456426,0.8636363636363636,0.9545454545454546,0.9446367936106074
8,22,0.051802674813416244,0.5,0.5,0.9330039648832233
9,48,0.11235745924853975,0.45454545454545453,0.5454545454545454,0.9468482208539334
10,40,0.09312289520000674,0.9090909090909091,0.7272727272727273,0.934950010053292
11,29,0.06091082254484009,0.7272727272727273,0.7727272727272727,0.9278300688681896
12,36,0.040609228406225016,0.5909090909090909,0.5454545454545454,0.9355078121028931
13,24,0.05053056471599274,0.4090909090909091,0.36363636363636365,0.8495181875355907
14,40,0.054619581307589885,1.0,1.0,0.9397233201581027
15,52,0.12745628605295964,0.7272727272727273,0.6818181818181818,0.8875156952651752
16,38,0.07003312336542003,0.6363636363636364,0.5909090909090909,0.9429207107724882
17,33,0.050038493439946784,0.7272727272727273,0.7727272727272727,0.92512975396546
18,54,0.11449541085666004,0.6818181818181818,0.6818181818181818,0.94710837077861
19,35,0.03384819955615837,0.45454545454545453,0.4090909090909091,0.9503336094420831
20,37,0.060743758195817614,0.5909090909090909,0.6818181818181818,0.9510628942474142
21,49,0.06358713439554732,0.8636363636363636,0.9090909090909091,0.9444032905064071
22,15,0.04638370851148568,0.5454545454545454,0.5909090909090909,0.8290513833992096
