solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc,spearman
0,531,1.0,1.0,0.9090909090909091,0.9453916769956865
1,299,0.35431064351174707,1.0,0.9090909090909091,0.9480970016458112
2,531,1.0,1.0,0.9090909090909091,0.9557480996922472
3,531,1.0,1.0,0.9545454545454546,0.9441424781770069
4,58,0.0840024479584612,0.7727272727272727,0.6818181818181818,0.9569946794506207
5,55,0.07762911722364477,1.0,1.0,0.9488259717068922
6,531,1.0,1.0,0.8636363636363636,0.9468482208539334
7,56,0.09486292302546935,0.8181818181818182,0.8181818181818182,0.9446367936106074
8,96,0.19343015356184687,0.6818181818181818,0.6818181818181818,0.9063043283682821
9,54,0.10340486793053498,0.5454545454545454,0.45454545454545453,0.892733673082552
10,84,0.1592792549417683,0.7272727272727273,0.5454545454545454,0.9141733431632189
11,531,1.0,1.0,0.9545454545454546,0.953534471415417
12,75,0.12209683967337993,0.8181818181818182,0.9545454545454546,0.9355078121028931
13,76,0.15494892327438578,0.8181818181818182,0.7727272727272727,0.7467259926505396
14,54,0.12375827377683324,1.0,1.0,0.9397233201581027
15,531,1.0,1.0,0.9545454545454546,0.9510390408959768
16,531,1.0,1.0,0.9545454545454546,0.9439090972617676
17,133,0.16384269896004905,0.6818181818181818,0.7272727272727273,0.9293130151689911
18,55,0.09276041646928981,0.7727272727272727,0.5909090909090909,0.9480970016458112
19,71,0.13903540154444297,0.8636363636363636,0.9090909090909091,0.905856217424513
20,57,0.09464252216287623,0.7727272727272727,0.7727272727272727,0.9411765855754037
21,57,0.11033510192229454,0.8181818181818182,0.8636363636363636,0.9394613580600105
22,531,1.0,1.0,0.9545454545454546,0.9444032905064071
