solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,80,0.20777181168742168,1.0,1.0
1,80,0.21254436116520867,0.9333333333333333,1.0
2,80,0.20892146607705864,1.0,1.0
3,80,0.1928598010125683,0.8666666666666667,0.9333333333333333
4,80,0.1932980157345375,0.8666666666666667,0.8666666666666667
5,80,0.19544185729904012,0.9333333333333333,0.9333333333333333
6,80,0.2030138666775031,0.9333333333333333,0.9333333333333333
7,80,0.20163803808204314,0.9333333333333333,0.9333333333333333
8,80,0.1875687554446443,1.0,1.0
9,80,0.21220088518109223,1.0,1.0
10,80,0.20157135884042202,1.0,1.0
11,80,0.20669087492642904,0.9333333333333333,0.9333333333333333
12,80,0.19600728636075485,1.0,1.0
13,80,0.19581656509118364,1.0,1.0
14,80,0.18649079687009926,1.0,1.0
15,80,0.21291132236532478,1.0,1.0
