solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,40,0.10802292361038783,1.0,1.0
1,40,0.12133462325473217,0.8,0.8666666666666667
2,40,0.09849148461870884,1.0,1.0
3,40,0.10442475048073312,0.9333333333333333,0.8666666666666667
4,40,0.10882101065045896,1.0,1.0
5,40,0.10623159457128366,0.9333333333333333,0.9333333333333333
6,40,0.10694655033819324,0.8,0.8
7,40,0.09397944868611532,0.9333333333333333,0.9333333333333333
8,40,0.0997640315592169,0.9333333333333333,0.9333333333333333
9,40,0.1058177180529983,0.9333333333333333,0.9333333333333333
10,40,0.10037303367638305,1.0,1.0
11,40,0.09414925348760687,1.0,1.0
12,40,0.10079021374152194,1.0,1.0
13,40,0.10207989366162336,0.9333333333333333,0.9333333333333333
14,40,0.0776322436273507,1.0,1.0
15,40,0.11590347068084482,0.8,0.8
