solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,80,0.18549891976454905,0.6666666666666666,0.7333333333333333
1,80,0.22605340417588593,0.9333333333333333,0.9333333333333333
2,80,0.20468779563725345,0.8,0.8
3,80,0.22312573885536616,0.9333333333333333,0.8
4,80,0.18449230512503909,1.0,1.0
5,80,0.20704823087328983,0.8666666666666667,0.8666666666666667
6,80,0.21840061483618076,0.8666666666666667,0.8666666666666667
7,80,0.20734659833077237,0.9333333333333333,0.9333333333333333
8,80,0.1826000346315665,1.0,0.9333333333333333
9,80,0.19917971630382791,1.0,1.0
10,80,0.20279383348730512,1.0,1.0
11,80,0.2091373348907681,0.8,0.9333333333333333
12,80,0.19179921178594952,1.0,1.0
13,80,0.20800676687565237,0.9333333333333333,0.8
14,80,0.20488464851440352,0.9333333333333333,1.0
15,80,0.2254086735477162,0.9333333333333333,0.9333333333333333
