solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,84,0.19277585843762524,0.8,0.8666666666666667
1,89,0.17958758915772083,0.8666666666666667,0.8666666666666667
2,87,0.20458651440316142,1.0,1.0
3,89,0.1922569233775064,0.6666666666666666,0.8
4,82,0.20462352535702022,0.8666666666666667,0.8666666666666667
5,132,0.26928736515359225,0.8666666666666667,0.8666666666666667
6,87,0.19592023830046112,0.9333333333333333,0.9333333333333333
7,98,0.199698440369622,0.8,0.8
8,29,0.054444977831479446,1.0,0.9333333333333333
9,85,0.19969724097383598,1.0,1.0
10,83,0.19304528083220776,1.0,1.0
11,88,0.19399252253490265,0.8666666666666667,0.7333333333333333
12,128,0.3093055212304144,1.0,1.0
13,101,0.2502771518446532,0.8666666666666667,1.0
14,53,0.16934548242905614,1.0,0.9333333333333333
15,84,0.22146731524474272,0.8666666666666667,0.8666666666666667
