solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,28,0.06959155129408995,1.0,1.0
1,141,0.380846488113811,0.8666666666666667,0.9333333333333333
2,52,0.13783698941126085,1.0,1.0
3,78,0.21103430651532665,0.9333333333333333,0.8666666666666667
4,100,0.25729109800280797,1.0,1.0
5,67,0.16677587078532763,1.0,1.0
6,50,0.12198003954067156,1.0,1.0
7,111,0.3026788517800016,0.8666666666666667,0.8666666666666667
8,54,0.12673499573790079,1.0,1.0
9,22,0.067922069054384,0.7333333333333333,0.7333333333333333
10,34,0.07505892176858005,1.0,1.0
11,39,0.09612997289800018,1.0,1.0
12,50,0.12166367777918638,1.0,1.0
13,54,0.1343934304562614,0.9333333333333333,0.9333333333333333
14,48,0.1174408059009598,1.0,1.0
15,164,0.46090047641636805,0.9333333333333333,0.9333333333333333
