solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,82,0.2310555842955383,1.0,1.0
1,85,0.18632004508005778,0.8666666666666667,0.8
2,83,0.16826209046339077,0.7333333333333333,0.7333333333333333
3,87,0.19943256197640682,0.8666666666666667,0.9333333333333333
4,78,0.20243994277765132,1.0,1.0
5,89,0.21377875880663869,0.8666666666666667,0.8666666666666667
6,85,0.20798888815393557,1.0,1.0
7,43,0.10359895812871617,0.9333333333333333,0.9333333333333333
8,81,0.25502573818293467,0.7333333333333333,0.7333333333333333
9,84,0.19741127345443715,1.0,1.0
10,105,0.24127231556785542,1.0,1.0
11,82,0.1932258932100945,0.9333333333333333,0.9333333333333333
12,152,0.37255558062766736,1.0,1.0
13,82,0.21272245393510028,0.9333333333333333,0.9333333333333333
14,49,0.1336398059797957,0.9333333333333333,0.9333333333333333
15,81,0.20700254364660442,0.9333333333333333,0.9333333333333333
