solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,80,0.11406605712385501,0.4666666666666667,0.5333333333333333
1,80,0.11859067051858388,0.7333333333333333,0.7333333333333333
2,80,0.12453000751223671,0.8,0.8
3,80,0.11330380765270456,0.5333333333333333,0.6666666666666666
4,80,0.1473360836065748,0.7333333333333333,0.7333333333333333
5,80,0.13853535255371793,0.7333333333333333,0.7333333333333333
6,80,0.11260542175100628,0.4666666666666667,0.4666666666666667
7,80,0.12616645185897402,0.5333333333333333,0.5333333333333333
8,80,0.11403719270038669,1.0,0.9333333333333333
9,80,0.13902743679164423,0.6,0.6
10,80,0.12467470210368324,0.4,0.4
11,80,0.08900398774128071,0.6666666666666666,0.5333333333333333
12,80,0.19021271735299008,1.0,1.0
13,80,0.1180732388479111,0.7333333333333333,0.6
14,80,0.11631433499506949,0.9333333333333333,1.0
15,80,0.1067276386858102,0.8666666666666667,0.8666666666666667
