solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc,spearman
0,68,0.12465550169591297,0.5909090909090909,0.5909090909090909,0.8445762550891941
1,67,0.1260874301837608,0.8181818181818182,0.7272727272727273,0.9557480996922472
2,66,0.08234547985642356,0.5,0.5909090909090909,0.8934489478240512
3,64,0.12381764006166625,0.7727272727272727,0.7272727272727273,0.9384427797288595
4,64,0.09776617988565384,0.9545454545454546,0.8636363636363636,0.9569946794506207
5,64,0.11920372174791667,0.8636363636363636,0.8636363636363636,0.9488259717068922
6,64,0.09508083022312026,0.9090909090909091,0.8636363636363636,0.9530401559818165
7,64,0.08806190853758564,0.9090909090909091,1.0,0.9446367936106074
8,64,0.11618012935725895,0.9545454545454546,0.9545454545454546,0.9231152106184302
9,64,0.08033187321733955,0.5454545454545454,0.5454545454545454,0.946119739911409
10,64,0.11943792625345834,0.8181818181818182,0.8181818181818182,0.9300031846032746
11,64,0.11679828351549919,0.8636363636363636,0.9090909090909091,0.9278300688681896
12,68,0.14087025647367254,0.6818181818181818,0.6363636363636364,0.9355078121028931
13,66,0.10459195863216793,0.8636363636363636,0.9090909090909091,0.9045972434889649
14,64,0.13449889747037574,1.0,1.0,0.9397233201581027
15,64,0.10440858720258722,0.5,0.5454545454545454,0.8875156952651752
16,66,0.09362632248788047,0.6363636363636364,0.6818181818181818,0.9014084782227558
17,68,0.11883941285731534,0.6363636363636364,0.5909090909090909,0.8885594538621246
18,64,0.10948253779791164,0.8181818181818182,0.6363636363636364,0.9480970016458112
19,64,0.10767723221965812,0.7727272727272727,0.7272727272727273,0.905856217424513
20,64,0.11410001337647574,0.8636363636363636,0.8636363636363636,0.9569946794506207
21,64,0.11000957037967664,0.8181818181818182,0.8636363636363636,0.9473684499742452
22,64,0.08765066320339118,0.6818181818181818,0.7272727272727273,0.9426877470355731
