solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,80,0.21604950472097614,1.0,0.9333333333333333
1,80,0.19828630305268383,1.0,1.0
2,80,0.19703719419100768,0.9333333333333333,0.9333333333333333
3,80,0.1873249166876036,0.8,0.9333333333333333
4,80,0.2023280937944139,1.0,1.0
5,80,0.20204896620733218,0.9333333333333333,0.9333333333333333
6,80,0.2043875945084726,1.0,1.0
7,80,0.19599586500177404,1.0,1.0
8,80,0.21414355929523068,1.0,0.9333333333333333
9,80,0.18348799689164488,1.0,1.0
10,80,0.18863071736836837,1.0,1.0
11,80,0.19398897984741736,0.8666666666666667,0.8666666666666667
12,80,0.19569885239626447,1.0,1.0
13,80,0.18662324508454997,0.8666666666666667,0.7333333333333333
14,80,0.2582925973262844,0.8666666666666667,0.8
15,80,0.20219813351807409,1.0,1.0
