solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc,spearman
0,82,0.2358405160671908,0.9545454545454546,0.8636363636363636,0.7645169494575678
1,531,1.0,1.0,0.9090909090909091,0.9441424781770069
2,35,0.08432191150885059,0.8181818181818182,0.8181818181818182,0.7915947788966828
3,11,0.017527615626638064,0.8636363636363636,0.8181818181818182,0.8156204654408697
4,16,0.030678908746155004,0.5,0.5909090909090909,0.9569946794506207
5,26,0.05758150372914015,0.6818181818181818,0.6818181818181818,0.9488259717068922
6,28,0.03219865438478984,0.9090909090909091,0.7727272727272727,0.9530401559818165
7,22,0.04548774003518081,0.3181818181818182,0.3181818181818182,0.9446367936106074
8,32,0.06457555327779059,0.6818181818181818,0.6818181818181818,0.9063043283682821
9,43,0.0918329940070171,0.5454545454545454,0.45454545454545453,0.892733673082552
10,12,0.018810277997937684,0.36363636363636365,0.09090909090909091,0.8379922312329505
11,32,0.07441014260879762,0.7727272727272727,0.8181818181818182,0.9278300688681896
12,40,0.10940847346484006,0.7727272727272727,0.8181818181818182,0.9355078121028931
13,12,0.024053757340189504,0.9090909090909091,0.9545454545454546,0.9513219959313626
14,13,0.02172989580054496,0.5454545454545454,0.5454545454545454,0.9397233201581027
15,16,0.03488947505939252,0.5,0.5454545454545454,0.8875156952651752
16,21,0.058174033465308646,0.5454545454545454,0.5,0.8915246133299626
17,19,0.03886238892748815,0.36363636363636365,0.3181818181818182,0.8569310862051858
18,26,0.04865464736406759,0.7727272727272727,0.5909090909090909,0.9480970016458112
19,38,0.10558754048429832,0.5909090909090909,0.5454545454545454,0.905856217424513
20,105,0.33758911488226323,0.9545454545454546,0.8636363636363636,0.9411765855754037
21,17,0.02068302182420954,0.8636363636363636,0.8181818181818182,0.8030640225394617
22,72,0.2205291689818864,0.8181818181818182,0.7727272727272727,0.9268774703557312
