solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,40,0.08029219720221885,0.6,0.6666666666666666
1,40,0.12477312897054697,0.7333333333333333,0.7333333333333333
2,47,0.10355073127481017,0.9333333333333333,0.9333333333333333
3,47,0.10963266034255369,0.6666666666666666,0.8
4,40,0.07976660031221851,0.7333333333333333,0.7333333333333333
5,40,0.08728363561735815,0.8666666666666667,0.8666666666666667
6,42,0.10784411001382171,1.0,1.0
7,40,0.09763411645431505,0.8666666666666667,0.8666666666666667
8,44,0.10106081857533593,1.0,0.9333333333333333
9,40,0.08310794876352129,1.0,1.0
10,40,0.09415506357328768,1.0,1.0
11,59,0.17385934123421992,0.8,0.9333333333333333
12,40,0.0952682889826647,1.0,1.0
13,46,0.12026264487598552,0.8666666666666667,1.0
14,40,0.06832958100013917,0.9333333333333333,1.0
15,40,0.07955946864097926,0.8666666666666667,0.8666666666666667
