solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,81,0.197604271693004,1.0,0.9333333333333333
1,89,0.2147675025852274,0.7333333333333333,0.7333333333333333
2,40,0.061222579660966954,0.8,0.8
3,40,0.06230491778365392,0.5333333333333333,0.6666666666666666
4,49,0.06709170014353395,0.26666666666666666,0.26666666666666666
5,45,0.0539385080456525,0.4,0.4
6,40,0.03507644718126777,0.3333333333333333,0.3333333333333333
7,40,0.038114777767468265,0.2,0.2
8,40,0.06860991432786255,1.0,0.9333333333333333
9,97,0.21790695973838906,1.0,1.0
10,84,0.15446651824296365,0.6666666666666666,0.6666666666666666
11,40,0.054739791517846394,0.6666666666666666,0.5333333333333333
12,40,0.10038978061265492,1.0,1.0
13,40,0.0532759221679219,0.6,0.4666666666666667
14,40,0.05164871018335178,0.9333333333333333,1.0
15,40,0.04522506605041909,0.8666666666666667,0.8666666666666667
