solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,93,0.24854728972270862,1.0,0.9333333333333333
1,143,0.3909172945269046,0.7333333333333333,0.7333333333333333
2,140,0.398205339731923,0.6666666666666666,0.6666666666666666
3,173,0.4774665823895147,0.9333333333333333,0.8
4,133,0.3460428863722584,1.0,1.0
5,73,0.17704859199203493,1.0,1.0
6,178,0.41291526036209164,1.0,1.0
7,201,0.45586023257006575,0.8666666666666667,0.8666666666666667
8,40,0.06890542785035032,1.0,0.9333333333333333
9,203,0.496929768922712,0.9333333333333333,0.9333333333333333
10,52,0.14030777819664295,1.0,1.0
11,174,0.43132078818299996,0.8,0.9333333333333333
12,40,0.10133930092669689,1.0,1.0
13,90,0.2535916310751176,0.8666666666666667,1.0
14,72,0.162775452685262,0.9333333333333333,1.0
15,51,0.11681110436887704,1.0,1.0
