solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc
0,40,0.1305427792449845,0.9333333333333333,0.8666666666666667
1,44,0.13340380263079613,0.7333333333333333,0.7333333333333333
2,41,0.1349416622999324,0.6666666666666666,0.6666666666666666
3,40,0.12072582545347603,0.8666666666666667,0.7333333333333333
4,44,0.11048480235840827,0.8666666666666667,0.8666666666666667
5,47,0.12548796947177168,1.0,1.0
6,41,0.10364409588946538,1.0,1.0
7,42,0.10291305818602585,0.8666666666666667,0.8666666666666667
8,40,0.15691617852991815,0.4666666666666667,0.5333333333333333
9,40,0.09819256337122871,1.0,1.0
10,47,0.10068081750785424,0.7333333333333333,0.7333333333333333
11,43,0.11818838227945365,0.8666666666666667,1.0
12,40,0.09604712807881582,1.0,1.0
13,46,0.13366747103342275,0.8666666666666667,1.0
14,40,0.13100572700460997,1.0,0.9333333333333333
15,48,0.148321523249795,0.6,0.6
