solver,num_instances,amount_runtime,par2_ranking_acc,label_ranking_acc,spearman
0,55,0.0860925720952698,0.8181818181818182,0.7272727272727273,0.9315542661457757
1,47,0.08713702734876515,0.7727272727272727,0.8636363636363636,0.9391993238410016
2,149,0.37932149712883173,0.9545454545454546,0.8636363636363636,0.9320150894567439
3,60,0.125169062411947,0.8636363636363636,0.9090909090909091,0.9428927191480163
4,44,0.08183043650162952,0.7272727272727273,0.7272727272727273,0.9530401559818165
5,50,0.0804265282946276,0.5454545454545454,0.5454545454545454,0.9349817157361818
6,43,0.06872013142019284,0.9090909090909091,0.7727272727272727,0.9530401559818165
7,58,0.1425696442054429,0.9090909090909091,0.8181818181818182,0.9446367936106074
8,43,0.052846049860811414,0.5,0.5,0.860816058750234
9,131,0.35585553742828735,0.7272727272727273,0.6363636363636364,0.9391993238410016
10,43,0.08335036538208518,0.7272727272727273,0.9090909090909091,0.9141733431632189
11,43,0.07358468834863777,0.6818181818181818,0.7272727272727273,0.9278300688681896
12,43,0.09529850319185017,0.7727272727272727,0.7272727272727273,0.9258528071337875
13,60,0.08769568590221938,0.7272727272727273,0.6818181818181818,0.7467259926505396
14,43,0.07871070092586502,1.0,1.0,0.9397233201581027
15,53,0.1110528634026948,0.8181818181818182,0.7727272727272727,0.9260818368978682
16,48,0.0742168025272036,0.9090909090909091,0.8636363636363636,0.8687917240765377
17,43,0.07470922211824989,0.7727272727272727,0.7272727272727273,0.92512975396546
18,68,0.12782244679267377,0.7727272727272727,0.5909090909090909,0.9480970016458112
19,70,0.11019745756844328,0.5909090909090909,0.6363636363636364,0.905856217424513
20,55,0.12027941994618124,0.8181818181818182,0.8181818181818182,0.9411765855754037
21,123,0.34139693765460044,0.8636363636363636,0.7272727272727273,0.9483568364635245
22,48,0.07361305870675472,0.7727272727272727,0.7272727272727273,0.9387351778656127
